CODGEO;sous_seg1;Seg1
2094;3_1;3.0
20940000;3_1;3.0
2095;8_1;8.0
20950000;8_1;8.0
2096;1;1.0
20960000;1;1.0
2097;2_1;2.0
20970000;2_1;2.0
2098;1;1.0
20980000;1;1.0
2099;2_1;2.0
20990000;2_1;2.0
2100;2_1;2.0
21000000;2_1;2.0
2101;1;1.0
21010000;1;1.0
2102;1;1.0
21020000;1;1.0
2103;3_1;3.0
21030000;3_1;3.0
2104;2_1;2.0
21040000;2_1;2.0
2105;1;1.0
21050000;1;1.0
2106;3_1;3.0
21060000;3_1;3.0
2107;1;1.0
21070000;1;1.0
2108;1;1.0
21080000;1;1.0
2109;2_3;2.0
21090000;2_3;2.0
2110;5;5.0
21100000;5;5.0
2111;2_2;2.0
21110000;2_2;2.0
2112;1;1.0
21120000;1;1.0
2114;4;4.0
21140000;4;4.0
2115;2_1;2.0
21150000;2_1;2.0
2116;1;1.0
21160000;1;1.0
2117;1;1.0
21170000;1;1.0
2118;3_3;3.0
21180000;3_3;3.0
2119;1;1.0
21190000;1;1.0
2120;2_1;2.0
21200000;2_1;2.0
2121;3_1;3.0
21210000;3_1;3.0
2122;2_1;2.0
21220000;2_1;2.0
2123;3_1;3.0
21230000;3_1;3.0
2124;1;1.0
21240000;1;1.0
2125;2_1;2.0
21250000;2_1;2.0
2126;3_1;3.0
21260000;3_1;3.0
2127;2_2;2.0
21270000;2_2;2.0
2128;3_1;3.0
21280000;3_1;3.0
2129;1;1.0
21290000;1;1.0
2130;1;1.0
21300000;1;1.0
2131;3_3;3.0
21310000;3_3;3.0
2132;1;1.0
21320000;1;1.0
2133;2_3;2.0
21330000;2_3;2.0
2134;1;1.0
21340000;1;1.0
2135;2_3;2.0
21350000;2_3;2.0
2136;1;1.0
21360000;1;1.0
2137;2_1;2.0
21370000;2_1;2.0
2138;1;1.0
21380000;1;1.0
2139;1;1.0
21390000;1;1.0
2140;2_1;2.0
21400000;2_1;2.0
2141;5;5.0
21410000;5;5.0
2142;3_3;3.0
21420000;3_3;3.0
2143;2_3;2.0
21430000;2_3;2.0
2144;2_1;2.0
21440000;2_1;2.0
2145;1;1.0
21450000;1;1.0
2146;1;1.0
21460000;1;1.0
2147;1;1.0
21470000;1;1.0
2148;1;1.0
21480000;1;1.0
2149;3_3;3.0
21490000;3_3;3.0
2150;2_1;2.0
21500000;2_1;2.0
2151;1;1.0
21510000;1;1.0
2152;2_1;2.0
21520000;2_1;2.0
2153;1;1.0
21530000;1;1.0
2154;1;1.0
21540000;1;1.0
2155;2_3;2.0
21550000;2_3;2.0
2156;2_1;2.0
21560000;2_1;2.0
2157;5;5.0
21570000;5;5.0
2158;3_1;3.0
21580000;3_1;3.0
2159;1;1.0
21590000;1;1.0
2160;2_1;2.0
21600000;2_1;2.0
2161;2_2;2.0
21610000;2_2;2.0
2162;2_1;2.0
21620000;2_1;2.0
2163;5;5.0
21630000;5;5.0
2164;1;1.0
21640000;1;1.0
2165;3_1;3.0
21650000;3_1;3.0
2166;1;1.0
21660000;1;1.0
2167;2_3;2.0
21670000;2_3;2.0
21680101;8_2;8.0
21680201;3_2;3.0
21680301;5;5.0
21680401;4;4.0
21680501;3_2;3.0
21680601;3_2;3.0
21680701;4;4.0
2169;2_2;2.0
21690000;2_2;2.0
2170;1;1.0
21700000;1;1.0
2171;1;1.0
21710000;1;1.0
2172;1;1.0
21720000;1;1.0
21730101;5;5.0
21730201;8_1;8.0
21730301;5;5.0
2174;2_3;2.0
21740000;2_3;2.0
2175;1;1.0
21750000;1;1.0
2176;2_1;2.0
21760000;2_1;2.0
2177;1;1.0
21770000;1;1.0
2178;2_1;2.0
21780000;2_1;2.0
2179;1;1.0
21790000;1;1.0
2180;1;1.0
21800000;1;1.0
2181;2_1;2.0
21810000;2_1;2.0
2182;1;1.0
21820000;1;1.0
2183;2_3;2.0
21830000;2_3;2.0
2184;1;1.0
21840000;1;1.0
2185;2_3;2.0
21850000;2_3;2.0
2186;2_3;2.0
21860000;2_3;2.0
2187;2_2;2.0
21870000;2_2;2.0
2188;1;1.0
21880000;1;1.0
2189;2_3;2.0
21890000;2_3;2.0
2190;1;1.0
21900000;1;1.0
2191;1;1.0
21910000;1;1.0
2192;1;1.0
21920000;1;1.0
2193;2_2;2.0
21930000;2_2;2.0
2194;1;1.0
21940000;1;1.0
2195;2_3;2.0
21950000;2_3;2.0
2196;3_3;3.0
21960000;3_3;3.0
2197;1;1.0
21970000;1;1.0
2198;3_3;3.0
21980000;3_3;3.0
2199;2_2;2.0
21990000;2_2;2.0
2200;2_1;2.0
22000000;2_1;2.0
2201;2_3;2.0
22010000;2_3;2.0
2203;4;4.0
22030000;4;4.0
2204;2_1;2.0
22040000;2_1;2.0
2205;2_1;2.0
22050000;2_1;2.0
2206;1;1.0
22060000;1;1.0
2207;1;1.0
22070000;1;1.0
2208;2_1;2.0
22080000;2_1;2.0
2209;4;4.0
22090000;4;4.0
2210;1;1.0
22100000;1;1.0
2211;2_2;2.0
22110000;2_2;2.0
2212;5;5.0
22120000;5;5.0
2213;1;1.0
22130000;1;1.0
2214;3_3;3.0
22140000;3_3;3.0
