codgeo;P10_POP0610;P10_POP1117;P10_POP1824;P10_POP2539;P10_POP4054;P10_POP5564;P10_POP6579;P10_POP80P
63315;133.767446;157.07541;108.432703;337.458785;381.021258;217.865509;202.372359;157.158745
63317;26.834694;36.773469;21.865306;108.332653;106.344898;55.657143;71.559184;16.895918
63318;19.0;30.0;21.0;80.0;76.0;66.0;47.0;26.0
63319;31.866572;35.858457;31.866572;99.583037;138.424703;127.470569;153.362159;80.722208
63320;10.198413;10.198413;10.198413;40.793651;46.912698;34.674603;54.051587;26.515873
63321;64.131313;78.382716;41.736251;174.070707;237.184063;95.687991;97.723906;29.520763
63322;139.397143;176.502857;144.411429;407.16;536.528571;261.745714;228.651429;58.165714
63323;5.214286;11.471429;6.257143;16.685714;30.242857;27.114286;33.371429;9.385714
63324;18.0;19.0;5.0;23.0;57.0;29.0;60.0;15.0
63325;38.089623;42.099057;23.054245;107.252358;107.252358;39.091981;27.063679;1.002358
63326;23.260771;23.260771;16.181406;103.156463;103.156463;49.555556;64.725624;17.192744
63327;160.188295;178.731872;117.019083;421.93368;477.618484;250.608462;162.269721;43.142176
63328;1.0;5.0;3.0;5.0;12.0;17.0;11.0;5.0
63329;8.0;16.0;17.0;13.0;50.0;25.0;23.0;4.0
63330;22.458333;20.319444;12.833333;59.888889;63.097222;39.569444;49.194444;19.25
63331;9.62822;21.695845;7.702576;29.847482;41.401346;45.252634;42.364168;11.553864
63332;37.0;42.0;22.0;121.0;98.0;68.0;63.0;19.0
63333;11.944766;20.90334;14.930957;35.837721;48.77446;34.8389;30.857311;8.958574
63334;26.812825;57.59792;20.854419;91.362218;118.175043;83.417678;89.376083;42.701906
63335;18.343324;25.476839;27.514986;62.163488;98.850136;41.782016;64.201635;19.362398
63336;14.817814;19.757085;10.866397;27.659919;62.234818;41.489879;37.538462;20.744939
63337;4.0;2.0;4.0;13.0;10.0;10.0;7.0;6.0
63338;169.0;256.0;227.0;456.0;768.0;593.0;651.0;345.0
63339;9.0;8.0;7.0;24.0;37.0;25.0;13.0;16.0
63340;10.077519;19.147287;19.147287;30.232558;70.542636;45.348837;44.341085;12.093023
63341;27.0;42.0;15.0;76.0;142.0;110.0;79.0;26.0
63342;17.866667;23.822222;13.896296;38.711111;56.577778;39.703704;44.666667;17.866667
63343;14.0;14.0;15.0;51.0;59.0;46.0;22.0;14.0
63344;3.0;7.0;4.0;19.0;23.0;29.0;25.0;9.0
63345;204.98482;301.221825;181.27655;535.077747;781.44448;491.771095;293.522865;90.462785
63346;10.30837;16.493392;5.154185;27.832599;53.603524;45.356828;51.54185;16.493392
63347;47.52;35.64;16.83;99.99;124.74;65.34;45.54;24.75
63348;1.967742;14.758065;8.854839;26.564516;45.258065;33.451613;29.516129;18.693548
63349;130.109268;161.587317;102.828293;343.110732;491.057561;314.780488;343.110732;132.207805
